año,nombre_exhibición,nombre_locacion,curador_0,curador_1,curador_2,curador_3,fecha_inicio,fecha_finalización,nombre_obra,nombre_artista_0,nombre_artista_1,nombre_artista_2,nombre_artista_3,nombre_artista_4,nombre_artista_5,nombre_artista_6,nombre_artista_7,nombre_artista_8,técnica
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Tríada,"Donoso Lamas, Manuela","Pereira Hors, Luisa",,,,,,,,videoarte
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Two Space,"Cuba, Larry",,,,,,,,,videoarte
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,14/11/2014,14/11/2014,,Richter,Power De Luxe,,,,,,,,videoarte
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,15/11/2014,22/11/2014,Prodanza,"Sanchez Lobo, claudia","Böhm, Daniel",,,,,,,,videoarte
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,15/11/2014,15/11/2014,,DJ Dan,Ella y yo + Heroinax,Corporal,,,,,,,videoarte
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,15/11/2014,15/11/2014,,Moore ,"Marte, Luis",El hombre invisible,,,,,,,videoarte
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,16/11/2014,16/11/2014,Meet the game,Artistas varios,,,,,,,,,videoarte
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,19/11/2014,19/11/2014,,Taurus,,,,,,,,,videoarte
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,19/11/2014,19/11/2014,,Melman = DM,,,,,,,,,videoarte
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,19/11/2014,19/11/2014,,Sobrenada,"Pafundi, Milena","Soloaga, Julieta",,,,,,,videoarte
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,19/11/2014,19/11/2014,,Micro-esfera,Deli,,,,,,,,videoarte
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,20/11/2014,21/11/2014,Mapa de las artes electrónicas y multimediales,Artistas varios,,,,,,,,,videoarte
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,21/11/2014,21/11/2014,,Nexus-6,Glasnot,,,,,,,,videoarte
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,22/11/2014,22/11/2014,ECI- Artes electrónicas,Artistas varios,,,,,,,,,videoarte
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,22/11/2014,22/11/2014,,Cosaquitos en globo,Ut ut ut,,,,,,,,videoarte
